run_id,experiment,seed,model_profile,proportions_option,question_number,tweet_file,num_agents,graph_model,homophily,survey_ctx,num_news_agents,activity_exponent,stimulus_mode,survey_order_mode,max_steps,survey_interval
30000,e3_topology,30000,qwen_loras,blueprint,25,genetic_enhancements_tweets.json,256,fully_connected,off,off,0,0.5,normal,both,2500,250
30001,e3_topology,30001,llama3.1_loras,blueprint,28,ai_copyright_tweets.json,256,barabasi_albert,off,off,0,0.5,normal,both,2500,250
30002,e3_topology,30002,qwen_loras,blueprint,29,environmental_protection_tweets.json,256,stochastic_block,off,off,0,0.5,normal,both,2500,250
30003,e3_topology,30003,minitaur_loras,blueprint,28,ai_copyright_tweets.json,256,random,off,off,0,0.5,normal,both,2500,250
30004,e3_topology,30004,qwen_loras,blueprint,29,environmental_protection_tweets.json,256,random,off,off,0,0.5,normal,both,2500,250
30005,e3_topology,30005,gemma_loras,blueprint,28,ai_copyright_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30006,e3_topology,30006,qwen_loras,blueprint,29,environmental_protection_tweets.json,256,forest_fire,off,off,0,0.5,normal,both,2500,250
30007,e3_topology,30007,gemma_loras,blueprint,25,genetic_enhancements_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30008,e3_topology,30008,gemma_loras,blueprint,25,genetic_enhancements_tweets.json,256,random,off,off,0,0.5,normal,both,2500,250
30009,e3_topology,30009,minitaur_loras,blueprint,28,ai_copyright_tweets.json,256,fully_connected,off,off,0,0.5,normal,both,2500,250
30010,e3_topology,30010,gemma_loras,blueprint,28,ai_copyright_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30011,e3_topology,30011,qwen_loras,blueprint,29,environmental_protection_tweets.json,256,cycle,off,off,0,0.5,normal,both,2500,250
30012,e3_topology,30012,minitaur_loras,blueprint,29,environmental_protection_tweets.json,256,forest_fire,off,off,0,0.5,normal,both,2500,250
30013,e3_topology,30013,gemma_loras,blueprint,28,ai_copyright_tweets.json,256,barabasi_albert,off,off,0,0.5,normal,both,2500,250
30014,e3_topology,30014,gemma_loras,blueprint,25,genetic_enhancements_tweets.json,256,stochastic_block,off,off,0,0.5,normal,both,2500,250
30015,e3_topology,30015,qwen_loras,blueprint,28,ai_copyright_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30016,e3_topology,30016,minitaur_loras,blueprint,28,ai_copyright_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30017,e3_topology,30017,llama3.1_loras,blueprint,25,genetic_enhancements_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30018,e3_topology,30018,llama3.1_loras,blueprint,25,genetic_enhancements_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30019,e3_topology,30019,llama3.1_loras,blueprint,29,environmental_protection_tweets.json,256,random,off,off,0,0.5,normal,both,2500,250
30020,e3_topology,30020,qwen_loras,blueprint,29,environmental_protection_tweets.json,256,fully_connected,off,off,0,0.5,normal,both,2500,250
30021,e3_topology,30021,qwen_loras,blueprint,28,ai_copyright_tweets.json,256,stochastic_block,off,off,0,0.5,normal,both,2500,250
30022,e3_topology,30022,minitaur_loras,blueprint,25,genetic_enhancements_tweets.json,256,powerlaw_cluster,off,off,0,0.5,normal,both,2500,250
30023,e3_topology,30023,llama3.1_loras,blueprint,29,environmental_protection_tweets.json,256,stochastic_block,off,off,0,0.5,normal,both,2500,250
30024,e3_topology,30024,gemma_loras,blueprint,28,ai_copyright_tweets.json,256,cycle,off,off,0,0.5,normal,both,2500,250
30025,e3_topology,30025,llama3.1_loras,blueprint,29,environmental_protection_tweets.json,256,cycle,off,off,0,0.5,normal,both,2500,250
30026,e3_topology,30026,qwen_loras,blueprint,25,genetic_enhancements_tweets.json,256,fully_connected,off,off,0,0.5,normal,both,2500,250
30027,e3_topology,30027,llama3.1_loras,blueprint,25,genetic_enhancements_tweets.json,256,fully_connected,off,off,0,0.5,normal,both,2500,250
30028,e3_topology,30028,gemma_loras,blueprint,25,genetic_enhancements_tweets.json,256,cycle,off,off,0,0.5,normal,both,2500,250
30029,e3_topology,30029,llama3.1_loras,blueprint,28,ai_copyright_tweets.json,256,fully_connected,off,off,0,0.5,normal,both,2500,250
30030,e3_topology,30030,qwen_loras,blueprint,29,environmental_protection_tweets.json,256,barabasi_albert,off,off,0,0.5,normal,both,2500,250
30031,e3_topology,30031,llama3.1_loras,blueprint,25,genetic_enhancements_tweets.json,256,random,off,off,0,0.5,normal,both,2500,250
30032,e3_topology,30032,gemma_loras,blueprint,29,environmental_protection_tweets.json,256,cycle,off,off,0,0.5,normal,both,2500,250
30033,e3_topology,30033,minitaur_loras,blueprint,29,environmental_protection_tweets.json,256,stochastic_block,off,off,0,0.5,normal,both,2500,250
30034,e3_topology,30034,gemma_loras,blueprint,25,genetic_enhancements_tweets.json,256,fully_connected,off,off,0,0.5,normal,both,2500,250
30035,e3_topology,30035,minitaur_loras,blueprint,25,genetic_enhancements_tweets.json,256,cycle,off,off,0,0.5,normal,both,2500,250
30036,e3_topology,30036,gemma_loras,blueprint,25,genetic_enhancements_tweets.json,256,forest_fire,off,off,0,0.5,normal,both,2500,250
