Model_File,Weight
gemma-3-4b-pt-lora-finetuned-unsloth-7_token_prob_pop.pkl,-1.3766445607422742e-12
gemma-3-4b-pt-lora-finetuned-unsloth-5_token_prob_pop.pkl,-1.0146192091221566e-12
gemma-3-4b-pt-lora-finetuned-unsloth-2_token_prob_pop.pkl,-2.2314591708996994e-12
gemma-3-4b-pt-lora-finetuned-unsloth-12_token_prob_pop.pkl,-9.3547120667069e-13
gemma-3-4b-pt-lora-finetuned-unsloth-22_token_prob_pop.pkl,0.11796642723824595
gemma-3-4b-pt-lora-finetuned-unsloth-18_token_prob_pop.pkl,-1.3075618051844332e-12
gemma-3-4b-pt-lora-finetuned-unsloth-1_token_prob_pop.pkl,-2.096608118048113e-12
gemma-3-4b-pt-lora-finetuned-unsloth-9_token_prob_pop.pkl,-1.5439636355913869e-12
gemma-3-4b-pt-lora-finetuned-unsloth-6_token_prob_pop.pkl,-1.0621378860966357e-12
gemma-3-4b-pt-lora-finetuned-unsloth-0_token_prob_pop.pkl,-1.0228557303702503e-12
gemma-3-4b-pt-lora-finetuned-unsloth-15_token_prob_pop.pkl,-2.18374331304116e-12
gemma-3-4b-pt-lora-finetuned-unsloth-3_token_prob_pop.pkl,-1.7747999261997366e-12
gemma-3-4b-pt-lora-finetuned-unsloth-20_token_prob_pop.pkl,0.22165425984148815
gemma-3-4b-pt-lora-finetuned-unsloth-16_token_prob_pop.pkl,0.543002337012717
gemma-3-4b-pt-lora-finetuned-unsloth-8_token_prob_pop.pkl,-1.1100947842799492e-12
gemma-3-4b-pt-lora-finetuned-unsloth-21_token_prob_pop.pkl,-4.969782675692746e-13
gemma-3-4b-pt-lora-finetuned-unsloth-23_token_prob_pop.pkl,-1.9664653113877106e-12
gemma-3-4b-pt-lora-finetuned-unsloth-14_token_prob_pop.pkl,-1.941249758963789e-12
gemma-3-4b-pt-lora-finetuned-unsloth-19_token_prob_pop.pkl,-1.3937861687883584e-12
gemma-3-4b-pt-lora-finetuned-unsloth-4_token_prob_pop.pkl,0.1173769759465746
gemma-3-4b-pt-lora-finetuned-unsloth-13_token_prob_pop.pkl,-2.14387000954621e-12
gemma-3-4b-pt-lora-finetuned-unsloth-24_token_prob_pop.pkl,-1.0598457244492025e-12
gemma-3-4b-pt-lora-finetuned-unsloth-17_token_prob_pop.pkl,-1.6944494972491293e-12
gemma-3-4b-pt-lora-finetuned-unsloth-11_token_prob_pop.pkl,-1.0003794392804573e-12
gemma-3-4b-pt-lora-finetuned-unsloth-10_token_prob_pop.pkl,-1.6880630639063158e-12
