Model_File,Weight
Llama-3.1-8B-lora-finetuned-unsloth-13_token_prob_pop.pkl,0.0692627522555476
Llama-3.1-8B-lora-finetuned-unsloth-20_token_prob_pop.pkl,-6.623678889135189e-13
Llama-3.1-8B-lora-finetuned-unsloth-14_token_prob_pop.pkl,-1.334330072868604e-12
Llama-3.1-8B-lora-finetuned-unsloth-15_token_prob_pop.pkl,-1.9419949766879726e-12
Llama-3.1-8B-lora-finetuned-unsloth-2_token_prob_pop.pkl,-1.7173647727720567e-12
Llama-3.1-8B-lora-finetuned-unsloth-3_token_prob_pop.pkl,-1.4351248973450706e-12
Llama-3.1-8B-lora-finetuned-unsloth-9_token_prob_pop.pkl,-1.453300848930859e-12
Llama-3.1-8B-lora-finetuned-unsloth-24_token_prob_pop.pkl,-2.440009949738321e-12
Llama-3.1-8B-lora-finetuned-unsloth-1_token_prob_pop.pkl,-1.0521808221156343e-12
Llama-3.1-8B-lora-finetuned-unsloth-11_token_prob_pop.pkl,-3.683713768731977e-12
Llama-3.1-8B-lora-finetuned-unsloth-19_token_prob_pop.pkl,-2.5273949584559574e-12
Llama-3.1-8B-lora-finetuned-unsloth-23_token_prob_pop.pkl,-1.6001093555731033e-12
Llama-3.1-8B-lora-finetuned-unsloth-7_token_prob_pop.pkl,-1.4847593422428168e-12
Llama-3.1-8B-lora-finetuned-unsloth-0_token_prob_pop.pkl,-2.571867011084371e-12
Llama-3.1-8B-lora-finetuned-unsloth-17_token_prob_pop.pkl,-2.110323952873103e-12
Llama-3.1-8B-lora-finetuned-unsloth-18_token_prob_pop.pkl,0.2045900934469292
Llama-3.1-8B-lora-finetuned-unsloth-8_token_prob_pop.pkl,0.3690447393418524
Llama-3.1-8B-lora-finetuned-unsloth-5_token_prob_pop.pkl,-1.856364262820951e-12
Llama-3.1-8B-lora-finetuned-unsloth-10_token_prob_pop.pkl,-1.5952664786072392e-12
Llama-3.1-8B-lora-finetuned-unsloth-22_token_prob_pop.pkl,-1.4721305227076018e-12
Llama-3.1-8B-lora-finetuned-unsloth-16_token_prob_pop.pkl,-1.0589988143509353e-12
Llama-3.1-8B-lora-finetuned-unsloth-21_token_prob_pop.pkl,-1.3289388856126295e-12
Llama-3.1-8B-lora-finetuned-unsloth-6_token_prob_pop.pkl,0.20144442673283852
Llama-3.1-8B-lora-finetuned-unsloth-4_token_prob_pop.pkl,0.15565798825734017
Llama-3.1-8B-lora-finetuned-unsloth-12_token_prob_pop.pkl,-1.4138266033287076e-12
