Model_File,Weight
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-0_token_prob_pop.pkl,-3.041873995864258e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-1_token_prob_pop.pkl,-1.5859944986243106e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-2_token_prob_pop.pkl,-1.5543889946135332e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-3_token_prob_pop.pkl,-3.508170173934201e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-4_token_prob_pop.pkl,-2.2599105197432863e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-5_token_prob_pop.pkl,-1.651327147376326e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-6_token_prob_pop.pkl,0.27193296965726726
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-7_token_prob_pop.pkl,-9.922810635857158e-13
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-8_token_prob_pop.pkl,0.13913508605256175
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-9_token_prob_pop.pkl,-2.5039344965288634e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-10_token_prob_pop.pkl,-3.2037559438042146e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-11_token_prob_pop.pkl,-2.47052890805136e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-12_token_prob_pop.pkl,-4.543922013791628e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-13_token_prob_pop.pkl,-1.3571141541388616e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-14_token_prob_pop.pkl,0.2679288109799589
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-15_token_prob_pop.pkl,-2.074929826814502e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-16_token_prob_pop.pkl,-2.059898177694703e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-17_token_prob_pop.pkl,-2.458362384564676e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-18_token_prob_pop.pkl,-1.536120433346544e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-19_token_prob_pop.pkl,-4.98753084988523e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-20_token_prob_pop.pkl,-2.942828366458378e-12
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-21_token_prob_pop.pkl,0.024487206302543963
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-22_token_prob_pop.pkl,0.20117095954339054
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-23_token_prob_pop.pkl,-7.903719046618892e-13
token_prob_Llama-3.1-Minitaur-8B-lora-finetuned-unsloth-24_token_prob_pop.pkl,0.09534496756853536
