Model_File,Weight
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-0-no-focal_token_prob_pop.pkl,0.33980008228011227
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-1-no-focal_token_prob_pop.pkl,0.045207068781468344
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-2-no-focal_token_prob_pop.pkl,-8.466298637653934e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-3-no-focal_token_prob_pop.pkl,0.3549025366699828
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-4-no-focal_token_prob_pop.pkl,-8.93406215510987e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-5-no-focal_token_prob_pop.pkl,-8.410091980087417e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-6-no-focal_token_prob_pop.pkl,-2.849065050579023e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-7-no-focal_token_prob_pop.pkl,-9.445496616729469e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-8-no-focal_token_prob_pop.pkl,-1.073138175534092e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-9-no-focal_token_prob_pop.pkl,-6.738868316996127e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-10-no-focal_token_prob_pop.pkl,-2.6409390853638157e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-11-no-focal_token_prob_pop.pkl,4.887971359657271e-12
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-12-no-focal_token_prob_pop.pkl,-4.862618348927175e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-13-no-focal_token_prob_pop.pkl,0.153892639789596
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-14-no-focal_token_prob_pop.pkl,0.10619768114124276
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-15-no-focal_token_prob_pop.pkl,-4.566873839862267e-11
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-16-no-focal_token_prob_pop.pkl,-3.4656153400068393e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-17-no-focal_token_prob_pop.pkl,-7.770084709006715e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-18-no-focal_token_prob_pop.pkl,-3.165255734393494e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-19-no-focal_token_prob_pop.pkl,-2.2313956337157848e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-20-no-focal_token_prob_pop.pkl,-1.8779915146232737e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-21-no-focal_token_prob_pop.pkl,-3.6318685564180077e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-22-no-focal_token_prob_pop.pkl,-6.353855233563851e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-23-no-focal_token_prob_pop.pkl,-1.4613066463340033e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-24-no-focal_token_prob_pop.pkl,-4.578188588677757e-10
