Model_File,Weight
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-0-no-focal_token_prob_pop.pkl,0.3465010282493903
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-1-no-focal_token_prob_pop.pkl,0.08602603935244742
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-2-no-focal_token_prob_pop.pkl,-1.0429424164408827e-09
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-3-no-focal_token_prob_pop.pkl,0.4157395520476057
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-4-no-focal_token_prob_pop.pkl,-1.1006603476810334e-09
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-5-no-focal_token_prob_pop.pkl,-1.0361477564309555e-09
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-6-no-focal_token_prob_pop.pkl,-3.510208181479532e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-7-no-focal_token_prob_pop.pkl,-1.163667296935876e-09
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-8-no-focal_token_prob_pop.pkl,-1.3231858171125646e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-9-no-focal_token_prob_pop.pkl,-8.301975489569062e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-10-no-focal_token_prob_pop.pkl,-3.254966171593861e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-11-no-focal_token_prob_pop.pkl,6.0180999398014244e-12
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-12-no-focal_token_prob_pop.pkl,-5.994948242759277e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-13-no-focal_token_prob_pop.pkl,0.05890571010921958
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-14-no-focal_token_prob_pop.pkl,0.09282768092355968
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-15-no-focal_token_prob_pop.pkl,-5.6172556268561014e-11
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-16-no-focal_token_prob_pop.pkl,-4.268789490355485e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-17-no-focal_token_prob_pop.pkl,-9.571927299824915e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-18-no-focal_token_prob_pop.pkl,-3.899833519763224e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-19-no-focal_token_prob_pop.pkl,-2.74852832493534e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-20-no-focal_token_prob_pop.pkl,-2.3153275989352099e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-21-no-focal_token_prob_pop.pkl,-4.4745447889486214e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-22-no-focal_token_prob_pop.pkl,-7.828758520220352e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-23-no-focal_token_prob_pop.pkl,-1.799111036926637e-10
token_prob_Qwen2.5-7B-Instruct-lora-finetuned-24-no-focal_token_prob_pop.pkl,-5.641240955180765e-10
